id,Title,Ingredients,Instructions,Image,description
784,Food Processor Butter,"1. 2 cups heavy cream, preferably not ultra-pasteurized
2. 1 tsp. kosher salt (optional)
3. 2 Tbsp. sugar
4. 1 Tbsp. ground cinnamon
5. 1 tsp. finely grated orange zest
6. 1/4 cup parsley leaves with tender stems, finely chopped
7. 1 tsp. finely grated garlic
8. 1 tsp. finely grated lemon zest
9. 2 Tbsp. toasted sesame seeds
10. 2 tsp. coarsely grated black pepper
11. 2 tsp. smoked paprika
12. Cheesecloth","Process cream in a food processor until the butter solids have separated from the buttermilk and you see lots of little clumps of butter clinging together distinctly separated from thin milky liquid, 4–7 minutes (unpasteurized cream will separate more quickly). Carefully drain buttermilk; reserve for another use.
Remove jar with blade still attached. Pour cold water over butter solids left in food processor jar, then drain. Repeat until water runs clear, 3–4 times. Pour off as much water as possible out of jar of food processor, using your hands to hold the butter solids in place while you pour. Continue to process until butter forms a solid ball, about 2 minutes. Pour off water again, then add salt (if using) and process to combine.
If making compound butter, add ingredients for chosen flavor and process until fully incorporated.
Transfer butter to a medium bowl lined with a double layer of cheesecloth. Gather cheesecloth up around butter and twist to squeeze until no more liquid runs out of butter. Transfer butter to a sheet of parchment or waxed paper and roll up into a log. Chill until firm, about 1 hour.
Do Ahead: Butter can be made 5 days ahead. Keep chilled.",https://20fix.com/xfood/img/food-processor-butter.jpg,"Ingredients:
1. 2 cups heavy cream, preferably not ultra-pasteurized
2. 1 tsp. kosher salt (optional)
3. 2 Tbsp. sugar
4. 1 Tbsp. ground cinnamon
5. 1 tsp. finely grated orange zest
6. 1/4 cup parsley leaves with tender stems, finely chopped
7. 1 tsp. finely grated garlic
8. 1 tsp. finely grated lemon zest
9. 2 Tbsp. toasted sesame seeds
10. 2 tsp. coarsely grated black pepper
11. 2 tsp. smoked paprika
12. Cheesecloth

Instructions: Process cream in a food processor until the butter solids have separated from the buttermilk and you see lots of little clumps of butter clinging together distinctly separated from thin milky liquid, 4–7 minutes (unpasteurized cream will separate more quickly). Carefully drain buttermilk; reserve for another use.
Remove jar with blade still attached. Pour cold water over butter solids left in food processor jar, then drain. Repeat until water runs clear, 3–4 times. Pour off as much water as possible out of jar of food processor, using your hands to hold the butter solids in place while you pour. Continue to process until butter forms a solid ball, about 2 minutes. Pour off water again, then add salt (if using) and process to combine.
If making compound butter, add ingredients for chosen flavor and process until fully incorporated.
Transfer butter to a medium bowl lined with a double layer of cheesecloth. Gather cheesecloth up around butter and twist to squeeze until no more liquid runs out of butter. Transfer butter to a sheet of parchment or waxed paper and roll up into a log. Chill until firm, about 1 hour.
Do Ahead: Butter can be made 5 days ahead. Keep chilled."
1055,Seafood Sinigang (Sour and Savory Seafood Soup),"1. 1 tablespoon extra virgin olive oil
2. 4 small cloves garlic, finely chopped
3. 1 bunch flat-leaf parsley, finely chopped
4. Grated zest of 2 lemons
5. 4 cups seafood stock or water with dissolved fish bouillon cubes
6. Juice of 1 lemon, plus more to taste
7. 1 teaspoon granulated sugar
8. 2 red onions, chopped
9. 4 tomatoes, chopped
10. 1 pound fish fillets (such as salmon, monkfish, or cod), cut into 4 pieces
11. 1/2 pound long beans or green beans, trimmed and cut into 1-inch pieces
12. 4 fresh whole chiles of your choice
13. 1 bunch water spinach or spinach, thick stems removed
14. Fish sauce, to taste
15. 1 pound mixed shellfish (such as prawns, shrimp, and crab claws), shelled and cooked
16. Cooked rice or crusty bread, for serving","In a 3-quart saucepan, heat the olive oil over medium heat until it shimmers. Add the garlic and cook until it is light golden, then immediately remove the pot from the heat. Transfer the garlic mixture to a bowl and let it cool for 1 minute. Mix with the parsley and lemon zest. Set it aside.
Pour the seafood stock into the same saucepan used to fry the garlic. Add the lemon juice and sugar and bring the mixture to a boil over medium heat. Add the onions and tomatoes. Cover the pan, reduce the heat to low, and simmer for 5 minutes, or until the onions are translucent and the tomatoes are mushy.
Put the fish in a strainer or colander and dunk it into the simmering broth. Cook for 3 to 5 minutes, until opaque throughout. Be careful not to overcook it. Immediately transfer the fish to a plate and set it aside.
Put the beans in the strainer and dunk it into the simmering broth. Cook for about 5 minutes, or until the beans are tender but still vibrant green. Transfer the beans to a plate and set it aside.
Put the chiles and water spinach in the strainer and dunk it into the simmering broth. Cook for about a minute, or until they are tender but still vibrant in color. Transfer the chiles and spinach to a plate and set it aside.
While the broth continues to simmer, taste and add fish sauce and more lemon juice as needed. Distribute and arrange the fish, shellfish, and vegetables into each of four bowls.
Remove the broth from the heat and ladle it into the bowls with the seafood and vegetables. Sprinkle each serving with the gremolata. Serve the soup piping hot, with rice or crusty bread.",https://20fix.com/xfood/img/seafood-sinigang-sour-and-savory-seafood-soup.jpg,"Ingredients:
1. 1 tablespoon extra virgin olive oil
2. 4 small cloves garlic, finely chopped
3. 1 bunch flat-leaf parsley, finely chopped
4. Grated zest of 2 lemons
5. 4 cups seafood stock or water with dissolved fish bouillon cubes
6. Juice of 1 lemon, plus more to taste
7. 1 teaspoon granulated sugar
8. 2 red onions, chopped
9. 4 tomatoes, chopped
10. 1 pound fish fillets (such as salmon, monkfish, or cod), cut into 4 pieces
11. 1/2 pound long beans or green beans, trimmed and cut into 1-inch pieces
12. 4 fresh whole chiles of your choice
13. 1 bunch water spinach or spinach, thick stems removed
14. Fish sauce, to taste
15. 1 pound mixed shellfish (such as prawns, shrimp, and crab claws), shelled and cooked
16. Cooked rice or crusty bread, for serving

Instructions: In a 3-quart saucepan, heat the olive oil over medium heat until it shimmers. Add the garlic and cook until it is light golden, then immediately remove the pot from the heat. Transfer the garlic mixture to a bowl and let it cool for 1 minute. Mix with the parsley and lemon zest. Set it aside.
Pour the seafood stock into the same saucepan used to fry the garlic. Add the lemon juice and sugar and bring the mixture to a boil over medium heat. Add the onions and tomatoes. Cover the pan, reduce the heat to low, and simmer for 5 minutes, or until the onions are translucent and the tomatoes are mushy.
Put the fish in a strainer or colander and dunk it into the simmering broth. Cook for 3 to 5 minutes, until opaque throughout. Be careful not to overcook it. Immediately transfer the fish to a plate and set it aside.
Put the beans in the strainer and dunk it into the simmering broth. Cook for about 5 minutes, or until the beans are tender but still vibrant green. Transfer the beans to a plate and set it aside.
Put the chiles and water spinach in the strainer and dunk it into the simmering broth. Cook for about a minute, or until they are tender but still vibrant in color. Transfer the chiles and spinach to a plate and set it aside.
While the broth continues to simmer, taste and add fish sauce and more lemon juice as needed. Distribute and arrange the fish, shellfish, and vegetables into each of four bowls.
Remove the broth from the heat and ladle it into the bowls with the seafood and vegetables. Sprinkle each serving with the gremolata. Serve the soup piping hot, with rice or crusty bread."
1860,Campechana Extra (Mexican Seafood Cocktail),"1. 2 medium New Mexico (also called Anaheim), poblano, or Hatch chiles (about 6 ounces)
2. 1/2 pound medium shrimp (preferably wild), peeled, deveined, tails removed
3. Kosher salt
4. 1 small tomato, seeded, finely chopped (about 3/4 cup)
5. 1–2 jalapeños, stems, ribs, and seeds removed, finely chopped
6. 1/2 cup tomato–clam cocktail, such as Clamato juice
7. 1/4 cup plus 2 tablespoons ketchup
8. 3 tablespoons chopped pitted green olives
9. 2 tablespoons chopped cilantro
10. 2 tablespoons finely chopped white onion
11. 1 1/2 teaspoons finely chopped oregano
12. 1/2 teaspoon finely chopped garlic
13. 3 tablespoons fresh lime juice
14. 3 tablespoons olive oil
15. 1/2 pound crabmeat (preferably jumbo lump), picked over
16. 1 avocado, pitted, cubed
17. 1 fresh bay leaf (optional)
18. Tortilla chips (for serving)","Prepare a grill for medium-high heat or preheat broiler. If broiling, place chiles on a rimmed baking sheet. Grill, broil, or roast chiles directly over flame on stovetop, turning occasionally, until very tender and blackened all over, 10–12 minutes. Poblanos might take a little longer, so test doneness with a paring knife.
Transfer chiles to a large bowl. Cover with plastic wrap and let steam 15 minutes. Peel chiles. Halve lengthwise, discard seeds, and chop into 1/4"" pieces.
Meanwhile, bring a medium pot of generously salted water to a boil. Cook shrimp until just opaque and pink, 2–3 minutes. Using a slotted spoon, transfer to an ice bath and let sit until cool, about 3 minutes. Drain and pat dry.
Mix chiles, tomato, jalapeños, Clamato juice, ketchup, olives, cilantro, onion, oregano, garlic, lime juice, oil, and 1/4 tsp. salt in a large bowl. Carefully fold in shrimp, crab, and avocado.
Transfer to a serving bowl or tall sundae glass and top with bay leaf, if using. Serve with tortilla chips alongside.
Salsa base (without seafood and avocado) can be made 1 day ahead. Transfer to a resealable container and chill.",https://20fix.com/xfood/img/campechana-extra-mexican-seafood-cocktail.jpg,"Ingredients:
1. 2 medium New Mexico (also called Anaheim), poblano, or Hatch chiles (about 6 ounces)
2. 1/2 pound medium shrimp (preferably wild), peeled, deveined, tails removed
3. Kosher salt
4. 1 small tomato, seeded, finely chopped (about 3/4 cup)
5. 1–2 jalapeños, stems, ribs, and seeds removed, finely chopped
6. 1/2 cup tomato–clam cocktail, such as Clamato juice
7. 1/4 cup plus 2 tablespoons ketchup
8. 3 tablespoons chopped pitted green olives
9. 2 tablespoons chopped cilantro
10. 2 tablespoons finely chopped white onion
11. 1 1/2 teaspoons finely chopped oregano
12. 1/2 teaspoon finely chopped garlic
13. 3 tablespoons fresh lime juice
14. 3 tablespoons olive oil
15. 1/2 pound crabmeat (preferably jumbo lump), picked over
16. 1 avocado, pitted, cubed
17. 1 fresh bay leaf (optional)
18. Tortilla chips (for serving)

Instructions: Prepare a grill for medium-high heat or preheat broiler. If broiling, place chiles on a rimmed baking sheet. Grill, broil, or roast chiles directly over flame on stovetop, turning occasionally, until very tender and blackened all over, 10–12 minutes. Poblanos might take a little longer, so test doneness with a paring knife.
Transfer chiles to a large bowl. Cover with plastic wrap and let steam 15 minutes. Peel chiles. Halve lengthwise, discard seeds, and chop into 1/4"" pieces.
Meanwhile, bring a medium pot of generously salted water to a boil. Cook shrimp until just opaque and pink, 2–3 minutes. Using a slotted spoon, transfer to an ice bath and let sit until cool, about 3 minutes. Drain and pat dry.
Mix chiles, tomato, jalapeños, Clamato juice, ketchup, olives, cilantro, onion, oregano, garlic, lime juice, oil, and 1/4 tsp. salt in a large bowl. Carefully fold in shrimp, crab, and avocado.
Transfer to a serving bowl or tall sundae glass and top with bay leaf, if using. Serve with tortilla chips alongside.
Salsa base (without seafood and avocado) can be made 1 day ahead. Transfer to a resealable container and chill."
2319,Cabbage Blue Food Dye,"1. 1/2 small head of red cabbage, coarsely chopped
2. 1/2 cup sugar
3. 1/2 teaspoon baking soda","Bring cabbage and 3 cups water to a simmer in a medium saucepan over medium-low heat and cook until cabbage is soft and liquid is reduced by about a third, 20–25 minutes.
Remove cabbage with a spider or slotted spoon; discard. Add sugar to cabbage liquid and simmer, swirling pan occasionally, until liquid is a very deep purple and has reduced to about 1 cup, 10–15 minutes. Let dye cool, then stir in baking soda. Mix into frosting or royal icing to make desired color.",https://20fix.com/xfood/img/cabbage-blue-food-dye.jpg,"Ingredients:
1. 1/2 small head of red cabbage, coarsely chopped
2. 1/2 cup sugar
3. 1/2 teaspoon baking soda

Instructions: Bring cabbage and 3 cups water to a simmer in a medium saucepan over medium-low heat and cook until cabbage is soft and liquid is reduced by about a third, 20–25 minutes.
Remove cabbage with a spider or slotted spoon; discard. Add sugar to cabbage liquid and simmer, swirling pan occasionally, until liquid is a very deep purple and has reduced to about 1 cup, 10–15 minutes. Let dye cool, then stir in baking soda. Mix into frosting or royal icing to make desired color."
2320,Turmeric Yellow Food Dye,"1. 1/3 cup sugar
2. 4 teaspoons ground turmeric","Bring sugar, turmeric, and 2 cups water to a boil in a small saucepan over medium-low heat and cook, swirling pan occasionally, until liquid is reduced by about half, 25–30 minutes. Let dye cool before mixing into frosting or royal icing to make desired color.",https://20fix.com/xfood/img/turmeric-yellow-food-dye.jpg,"Ingredients:
1. 1/3 cup sugar
2. 4 teaspoons ground turmeric

Instructions: Bring sugar, turmeric, and 2 cups water to a boil in a small saucepan over medium-low heat and cook, swirling pan occasionally, until liquid is reduced by about half, 25–30 minutes. Let dye cool before mixing into frosting or royal icing to make desired color."
2321,Beet Red Food Dye,"1. 3 medium red beets, peeled, quartered
2. 1/2 cup sugar","Bring beets and 3 cups water to a simmer in a small saucepan over medium-low heat; cook until beets have lost their vibrant red color and liquid is reduced by about one-third, 25–30 minutes.
Remove beets with a slotted spoon. Add sugar to beet liquid and simmer, swirling pan occasionally, until very deep red and reduced to about 1 cup, 10–15 minutes. Let dye cool before using.",https://20fix.com/xfood/img/beet-red-food-dye.jpg,"Ingredients:
1. 3 medium red beets, peeled, quartered
2. 1/2 cup sugar

Instructions: Bring beets and 3 cups water to a simmer in a small saucepan over medium-low heat; cook until beets have lost their vibrant red color and liquid is reduced by about one-third, 25–30 minutes.
Remove beets with a slotted spoon. Add sugar to beet liquid and simmer, swirling pan occasionally, until very deep red and reduced to about 1 cup, 10–15 minutes. Let dye cool before using."
2729,Food Processor Pizza Dough,"1. 3/4 teaspoon active dry yeast
2. 1/2 teaspoon fine sea salt
3. 1 2/3 cups bread flour, plus more for surface","Pulse yeast, salt, and 1 2/3 cups flour in a food processor until combined. With the motor running, add 3/4 cup 100°F–110°F water and process until a ball forms, about 30 seconds.
Turn dough out onto a lightly floured work surface; it should look slightly shaggy and stick to the counter (if dough is too dry, add more warm water by the teaspoonful until tacky). Knead until dough becomes smooth and elastic, about 5 minutes. Divide into 2 balls (each will make a 12–14"" pizza).
Transfer balls to separate large resealable containers or bags. Chill at least overnight and up to 2 days.
Dough can be made 3 months ahead; tightly wrap balls in plastic and freeze.",https://20fix.com/xfood/img/food-processor-pizza-dough.jpg,"Ingredients:
1. 3/4 teaspoon active dry yeast
2. 1/2 teaspoon fine sea salt
3. 1 2/3 cups bread flour, plus more for surface

Instructions: Pulse yeast, salt, and 1 2/3 cups flour in a food processor until combined. With the motor running, add 3/4 cup 100°F–110°F water and process until a ball forms, about 30 seconds.
Turn dough out onto a lightly floured work surface; it should look slightly shaggy and stick to the counter (if dough is too dry, add more warm water by the teaspoonful until tacky). Knead until dough becomes smooth and elastic, about 5 minutes. Divide into 2 balls (each will make a 12–14"" pizza).
Transfer balls to separate large resealable containers or bags. Chill at least overnight and up to 2 days.
Dough can be made 3 months ahead; tightly wrap balls in plastic and freeze."
2838,Almond-Apricot Food Processor Cake,"1. 6 tablespoons unsalted butter, plus more for pan
2. 2 1/2 cups blanched sliced almonds (about 10 ounces), divided
3. 1 pound apricots, divided
4. 1/2 teaspoon kosher salt
5. 1 1/2 cups plus 2 tablespoons sugar, divided
6. 3 large eggs
7. 1 teaspoon vanilla extract
8. 3/4 cup all-purpose flour (regular or gluten-free)
9. 1 1/2 teaspoons baking powder
10. 1 teaspoon amaretto (optional)
11. 2 cups heavy cream
12. A 9-inch cake pan (preferably light-colored metal)","Preheat oven to 325°F. Butter cake pan, then line bottom with parchment paper. Butter parchment, then sprinkle evenly with 1/4 cup almonds.
Pit and coarsely chop 6 oz. apricots. Pulse salt, 1 1/2 cups sugar, and remaining 2 1/4 cups almonds in a food processor until finely ground. Add eggs, vanilla, 6 Tbsp. butter, and half of the chopped apricots; process until very smooth. Add flour and baking powder; pulse until combined, then fold in remaining chopped apricots. Transfer to prepared pan.
Bake cake until golden brown and the center no longer jiggles when shaken, 60–70 minutes. Transfer pan to a wire rack and let cake cool completely.
Meanwhile, pit and slice remaining 10 oz. apricots. Toss apricots, amaretto, if using, and remaining 2 Tbsp. sugar in a medium bowl. Let sit at least 10 minutes or up to 1 hour. Using a whisk or an electric mixer on medium-high speed, whip cream to soft peaks in a large bowl.
Run a knife around edges of cooled cake and invert onto a platter.
Serve with macerated apricots and whipped cream alongside.
Cake can be baked 3 days ahead. Cover and chill. Let come to room temperature before serving.",https://20fix.com/xfood/img/gluten-free-almond-apricot-food-processor-cake.jpg,"Ingredients:
1. 6 tablespoons unsalted butter, plus more for pan
2. 2 1/2 cups blanched sliced almonds (about 10 ounces), divided
3. 1 pound apricots, divided
4. 1/2 teaspoon kosher salt
5. 1 1/2 cups plus 2 tablespoons sugar, divided
6. 3 large eggs
7. 1 teaspoon vanilla extract
8. 3/4 cup all-purpose flour (regular or gluten-free)
9. 1 1/2 teaspoons baking powder
10. 1 teaspoon amaretto (optional)
11. 2 cups heavy cream
12. A 9-inch cake pan (preferably light-colored metal)

Instructions: Preheat oven to 325°F. Butter cake pan, then line bottom with parchment paper. Butter parchment, then sprinkle evenly with 1/4 cup almonds.
Pit and coarsely chop 6 oz. apricots. Pulse salt, 1 1/2 cups sugar, and remaining 2 1/4 cups almonds in a food processor until finely ground. Add eggs, vanilla, 6 Tbsp. butter, and half of the chopped apricots; process until very smooth. Add flour and baking powder; pulse until combined, then fold in remaining chopped apricots. Transfer to prepared pan.
Bake cake until golden brown and the center no longer jiggles when shaken, 60–70 minutes. Transfer pan to a wire rack and let cake cool completely.
Meanwhile, pit and slice remaining 10 oz. apricots. Toss apricots, amaretto, if using, and remaining 2 Tbsp. sugar in a medium bowl. Let sit at least 10 minutes or up to 1 hour. Using a whisk or an electric mixer on medium-high speed, whip cream to soft peaks in a large bowl.
Run a knife around edges of cooled cake and invert onto a platter.
Serve with macerated apricots and whipped cream alongside.
Cake can be baked 3 days ahead. Cover and chill. Let come to room temperature before serving."
3421,Seafood Stew for Two,"1. 1 medium fennel bulb, halved
2. 6 tablespoons olive oil, divided
3. 2 celery stalks, chopped
4. 1 small leek, white and pale-green parts only, sliced
5. 3 garlic cloves, crushed
6. 1 bay leaf
7. Kosher salt, freshly ground pepper
8. 1 pound head-on, shell-on prawns or large shrimp
9. Pinch of saffron (optional)
10. 1/4 cup dry white wine
11. 1 (28-ounce can) whole peeled tomatoes
12. 1 teaspoon fennel seeds
13. 1 small snapper fillet, halved crosswise
14. 6 medium sea scallops, side muscle removed
15. 1/4 pound squid, mix of tentacles and bodies
16. 1/2 pound cockles or littleneck clams, scrubbed
17. 1/2 pound mussels, scrubbed, debearded
18. Small sprigs tarragon (for serving)
19. 1/2 crusty baguette, sliced, toasted
20. Unsalted butter, room temperature (for serving)","Thinly slice half of fennel bulb; set aside. Coarsely chop other half. Heat 2 tablespoons oil in a medium heavy pot over medium-low. Add chopped fennel, celery, leek, garlic, and bay leaf. Season with salt and pepper and cook, stirring occasionally, until vegetables are soft but have not taken on any color, 10–12 minutes.
Meanwhile, remove shells and heads from all but 2 prawns (keep shells and heads for making broth).
Once vegetables are soft, increase heat to medium and add prawn heads and shells and saffron (if using). Cook, stirring occasionally, until shells are bright pink, about 4 minutes. Add wine and bring to a boil. Reduce heat and simmer, stirring occasionally, until reduced by half, about 3 minutes. Add half of tomatoes and 4 cups water. Bring to a strong simmer, then reduce heat and simmer, uncovered, until reduced by about one-third and flavors have melded, 60–70 minutes.
Remove from heat and puree mixture with an immersion blender until smooth (or let cool slightly and puree in batches in a blender). Strain broth through a finemesh sieve into a large measuring glass or bowl (you should have about 3 1/2 cups).
Wipe out pot and heat 2 tablespoons oil over medium. Add fennel seeds, reserved sliced fennel, and remaining tomatoes, crushing them with your hands. Season with salt and pepper and cook, stirring occasionally, until fennel is softened and seeds are toasted, about 5 minutes. Add broth and bring to a simmer.
Meanwhile, heat remaining 2 tablespoons oil in a small skillet over medium-high. Season snapper and scallops with salt and pepper. Cook snapper, skin side down, pressing gently with the back of a spatula to ensure contact with pan, until skin is brown and crisp, about 4 minutes. Turn fish and cook until cooked through, about 1 minute more. Transfer to a plate.
Cook scallops in same skillet (no need to wipe out) until golden brown and just cooked through, about 3 minutes per side; transfer to plate with snapper. Slice squid bodies into 1/4""-thick rings. Add cockles and mussels to pot with broth. Cook until they just start to open, then reduce heat to medium-low and add squid and all prawns, making sure they're submerged in the liquid. Simmer until cockles and mussels are opened and prawns and squid are just cooked through, about 3 minutes (discard any cockles and mussels that do not open).
Divide seafood stew between bowls, placing a head-on prawn on top of each; nestle snapper and scallops into broth and scatter tarragon sprigs over. Serve with bread and butter alongside for dipping into broth.
Broth can be made 1 day ahead; cover and chill.",https://20fix.com/xfood/img/seafood-stew-for-two-56390116.jpg,"Ingredients:
1. 1 medium fennel bulb, halved
2. 6 tablespoons olive oil, divided
3. 2 celery stalks, chopped
4. 1 small leek, white and pale-green parts only, sliced
5. 3 garlic cloves, crushed
6. 1 bay leaf
7. Kosher salt, freshly ground pepper
8. 1 pound head-on, shell-on prawns or large shrimp
9. Pinch of saffron (optional)
10. 1/4 cup dry white wine
11. 1 (28-ounce can) whole peeled tomatoes
12. 1 teaspoon fennel seeds
13. 1 small snapper fillet, halved crosswise
14. 6 medium sea scallops, side muscle removed
15. 1/4 pound squid, mix of tentacles and bodies
16. 1/2 pound cockles or littleneck clams, scrubbed
17. 1/2 pound mussels, scrubbed, debearded
18. Small sprigs tarragon (for serving)
19. 1/2 crusty baguette, sliced, toasted
20. Unsalted butter, room temperature (for serving)

Instructions: Thinly slice half of fennel bulb; set aside. Coarsely chop other half. Heat 2 tablespoons oil in a medium heavy pot over medium-low. Add chopped fennel, celery, leek, garlic, and bay leaf. Season with salt and pepper and cook, stirring occasionally, until vegetables are soft but have not taken on any color, 10–12 minutes.
Meanwhile, remove shells and heads from all but 2 prawns (keep shells and heads for making broth).
Once vegetables are soft, increase heat to medium and add prawn heads and shells and saffron (if using). Cook, stirring occasionally, until shells are bright pink, about 4 minutes. Add wine and bring to a boil. Reduce heat and simmer, stirring occasionally, until reduced by half, about 3 minutes. Add half of tomatoes and 4 cups water. Bring to a strong simmer, then reduce heat and simmer, uncovered, until reduced by about one-third and flavors have melded, 60–70 minutes.
Remove from heat and puree mixture with an immersion blender until smooth (or let cool slightly and puree in batches in a blender). Strain broth through a finemesh sieve into a large measuring glass or bowl (you should have about 3 1/2 cups).
Wipe out pot and heat 2 tablespoons oil over medium. Add fennel seeds, reserved sliced fennel, and remaining tomatoes, crushing them with your hands. Season with salt and pepper and cook, stirring occasionally, until fennel is softened and seeds are toasted, about 5 minutes. Add broth and bring to a simmer.
Meanwhile, heat remaining 2 tablespoons oil in a small skillet over medium-high. Season snapper and scallops with salt and pepper. Cook snapper, skin side down, pressing gently with the back of a spatula to ensure contact with pan, until skin is brown and crisp, about 4 minutes. Turn fish and cook until cooked through, about 1 minute more. Transfer to a plate.
Cook scallops in same skillet (no need to wipe out) until golden brown and just cooked through, about 3 minutes per side; transfer to plate with snapper. Slice squid bodies into 1/4""-thick rings. Add cockles and mussels to pot with broth. Cook until they just start to open, then reduce heat to medium-low and add squid and all prawns, making sure they're submerged in the liquid. Simmer until cockles and mussels are opened and prawns and squid are just cooked through, about 3 minutes (discard any cockles and mussels that do not open).
Divide seafood stew between bowls, placing a head-on prawn on top of each; nestle snapper and scallops into broth and scatter tarragon sprigs over. Serve with bread and butter alongside for dipping into broth.
Broth can be made 1 day ahead; cover and chill."
3450,Food Processor Carrot Cake,"1. 1 pound carrots, peeled and roughly chopped
2. 1 cup pecans
3. 1 cup brown sugar
4. 1/2 cup superfine sugar
5. 1 1/2 cups all-purpose flour
6. 1 teaspoon baking powder
7. 1 teaspoon baking soda
8. 2 teaspoons ground cinnamon
9. 1/2 cup vegetable oil
10. 1/4 cup plain yogurt
11. 2 eggs
12. 2 teaspoons vanilla extract
13. 8 ounces cream cheese, softened
14. 1/4 cup fresh ricotta
15. 1/3 cup powdered sugar
16. 1 tablespoon lemon juice
17. 1 teaspoon vanilla bean paste","Preheat oven to 325°F. Place the carrots and pecans in a food processor and process until finely chopped. Add both the sugars, flour, baking powder, baking soda, cinnamon, oil, yogurt, eggs and vanilla, and pulse in short bursts until combined.
Pour the mixture into a 9"" round springform pan lined with non-stick parchment paper and bake for 55–60 minutes or until just cooked when tested with a skewer. Cool in the pan.
To make the cream cheese frosting, place the cream cheese, ricotta, sugar, lemon juice and vanilla in a food processor and process until smooth. Spread the frosting over the cooled cake to serve.",https://20fix.com/xfood/img/food-processor-carrot-cake-56390081.jpg,"Ingredients:
1. 1 pound carrots, peeled and roughly chopped
2. 1 cup pecans
3. 1 cup brown sugar
4. 1/2 cup superfine sugar
5. 1 1/2 cups all-purpose flour
6. 1 teaspoon baking powder
7. 1 teaspoon baking soda
8. 2 teaspoons ground cinnamon
9. 1/2 cup vegetable oil
10. 1/4 cup plain yogurt
11. 2 eggs
12. 2 teaspoons vanilla extract
13. 8 ounces cream cheese, softened
14. 1/4 cup fresh ricotta
15. 1/3 cup powdered sugar
16. 1 tablespoon lemon juice
17. 1 teaspoon vanilla bean paste

Instructions: Preheat oven to 325°F. Place the carrots and pecans in a food processor and process until finely chopped. Add both the sugars, flour, baking powder, baking soda, cinnamon, oil, yogurt, eggs and vanilla, and pulse in short bursts until combined.
Pour the mixture into a 9"" round springform pan lined with non-stick parchment paper and bake for 55–60 minutes or until just cooked when tested with a skewer. Cool in the pan.
To make the cream cheese frosting, place the cream cheese, ricotta, sugar, lemon juice and vanilla in a food processor and process until smooth. Spread the frosting over the cooled cake to serve."
